Full name,fix_phone,id,createdAt,updatedAt,archived,properties.address,properties.country,properties.createdate,properties.firstname,properties.lastname,properties.hs_object_id,properties.lastmodifieddate,properties.phone,properties.raw_email,country,city,country_tuple,fix_email,properties.industry,properties.technical_test___create_date
Abbey Porter,(+353) 8532 182466,457508,2023-05-15T02:39:02.918Z,2023-09-16T10:53:47.456Z,False,"Besson  Avenue, 1005",Limerick,2023-05-15T02:39:02.918Z,Abbey,Porter,457508,2023-09-16T10:53:47.456Z,8-532-182-466,Abbey <abbey_porter75675783@vetan.org> Contact Info.,Ireland,Limerick,"('Ireland', 'Limerick')",abbey_porter75675783@vetan.org,Poultry and fish,2021-05-12
Abdul Fisher,(+44) 4231 262651,454197,2023-05-15T02:39:02.869Z,2023-09-16T10:56:44.620Z,False,"Edwin   Rue, 3956",England,2023-05-15T02:39:02.869Z,Abdul,Fisher,454197,2023-09-16T10:56:44.620Z,4-231-262-651,Abdul <abdul_fisher666937132@twipet.com> Contact Info.,England,,"('England', '')",abdul_fisher666937132@twipet.com,Milling,2021-12-07
Abdul Fisher,(+44) 4868 808871,448185,2023-05-15T02:39:02.869Z,2023-09-16T10:53:18.220Z,False,"Sheraton   Hill, 1513",Oxford,2023-05-15T02:39:02.869Z,Abdul,Fisher,448185,2023-09-16T10:53:18.220Z,4-868-808-871,Abdul <abdul_fisher1174469572@grannar.com> Contact Info.,England,Oxford,"('England', 'Oxford')",abdul_fisher1174469572@grannar.com,Poultry and fish,2021-01-10
Abdul Fox,(+353) 3186 084424,457516,2023-05-15T02:39:02.869Z,2023-09-16T10:53:14.551Z,False,"Arlington  Pass, 1149",Dublin,2023-05-15T02:39:02.869Z,Abdul,Fox,457516,2023-09-16T10:53:14.551Z,3-186-084-424,Abdul <abdul_fox283273357@joiniaa.com> Contact Info.,Ireland,Dublin,"('Ireland', 'Dublin')",abdul_fox283273357@joiniaa.com,Meat,2021-08-29
Abdul Fox,(+353) 5147 107006,460181,2023-05-15T02:39:02.869Z,2023-09-16T10:57:50.601Z,False,"Parkgate  Street, 5955",Dublin,2023-05-15T02:39:02.869Z,Abdul,Fox,460181,2023-09-16T10:57:50.601Z,5-147-107-006,Abdul <abdul_fox1689938287@mafthy.com> Contact Info.,Ireland,Dublin,"('Ireland', 'Dublin')",abdul_fox1689938287@mafthy.com,Bakery products,2021-07-12
Abdul Fox,(+44) 1753 441164,459017,2023-05-15T02:39:02.869Z,2023-09-16T10:57:23.080Z,False,"Timothy  Lane, 9113",Plymouth,2023-05-15T02:39:02.869Z,Abdul,Fox,459017,2023-09-16T10:57:23.080Z,1-753-441-164,Abdul <abdul_fox1778689671@tonsy.org> Contact Info.,England,Plymouth,"('England', 'Plymouth')",abdul_fox1778689671@tonsy.org,Animal feeds,2021-03-16
Abdul Graves,(+44) 3234 436060,459016,2023-05-15T02:39:02.868Z,2023-09-16T10:54:58.287Z,False,"Fawn Crossroad, 1481",Oxford,2023-05-15T02:39:02.868Z,Abdul,Graves,459016,2023-09-16T10:54:58.287Z,3-234-436-060,Abdul <abdul_graves300779932@vetan.org> Contact Info.,England,Oxford,"('England', 'Oxford')",abdul_graves300779932@vetan.org,Animal feeds,2021-05-29
Abdul Graves,(+44) 8056 733305,459767,2023-05-15T02:39:02.868Z,2023-09-16T10:53:14.477Z,False,"Cheney  Hill, 5758",Milton Keynes,2023-05-15T02:39:02.868Z,Abdul,Graves,459767,2023-09-16T10:53:14.477Z,8-056-733-305,Abdul <abdul_graves475323926@jiman.org> Contact Info.,England,Milton Keynes,"('England', 'Milton Keynes')",abdul_graves475323926@jiman.org,Animal feeds,2021-07-18
Abdul Hunt,(+353) 3464 107886,455775,2023-05-15T02:39:02.868Z,2023-09-16T10:53:18.220Z,False,"Queensberry  Lane, 5180",Waterford,2023-05-15T02:39:02.868Z,Abdul,Hunt,455775,2023-09-16T10:53:18.220Z,3-464-107-886,Abdul <abdul_hunt121174360@brety.org> Contact Info.,Ireland,Waterford,"('Ireland', 'Waterford')",abdul_hunt121174360@brety.org,Milling,2021-09-26
Abdul Hunt,(+353) 5344 075031,461451,2023-05-15T02:39:02.868Z,2023-09-16T10:53:18.237Z,False,"Camley   Pass, 2319",Waterford,2023-05-15T02:39:02.868Z,Abdul,Hunt,461451,2023-09-16T10:53:18.237Z,5-344-075-031,Abdul <abdul_hunt557709002@yahoo.com> Contact Info.,Ireland,Waterford,"('Ireland', 'Waterford')",abdul_hunt557709002@yahoo.com,Bakery products,2021-03-09
Abdul Hunt,(+44) 6755 718302,452538,2023-05-15T02:39:02.868Z,2023-09-16T10:57:32.372Z,False,"Chatsworth  Way, 4027",Oxford,2023-05-15T02:39:02.868Z,Abdul,Hunt,452538,2023-09-16T10:57:32.372Z,6-755-718-302,Abdul <abdul_hunt1407009784@bauros.biz> Contact Info.,England,Oxford,"('England', 'Oxford')",abdul_hunt1407009784@bauros.biz,Meat,2021-11-10
